Description|Price|Rating|ReviewCount|Url
Description|Price|Rating|ReviewCount|Url
Apple iPad (10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only (Pink)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-256-gb-rom-10-9-inch-wi-fi-only-pink/p/itmbd238dfd7fbbf?pid=TABGJ6XUYNCZGKAA&lid=LSTTABGJ6XUYNCZGKAAORWDFC&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_20&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XUYNCZGKAA.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G (Yellow)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-5g-yellow/p/itm86314e7cdfeda?pid=TABGJ6XU95CPJFYT&lid=LSTTABGJ6XU95CPJFYTKCRVYN&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_21&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XU95CPJFYT.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G (Silver)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-5g-silver/p/itm726898b3b70f2?pid=TABGJ6XU2NWAGKRH&lid=LSTTABGJ6XU2NWAGKRHJSNI3C&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_22&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XU2NWAGKRH.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only (Silver)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-256-gb-rom-10-9-inch-wi-fi-only-silver/p/itme666eb1f0627a?pid=TABGJ6XU9AS7DFDG&lid=LSTTABGJ6XU9AS7DFDG2TJ7AS&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_23&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XU9AS7DFDG.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only (Yellow)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-256-gb-rom-10-9-inch-wi-fi-only-yellow/p/itm3ca7548e76572?pid=TABGJ6XU726YRFGZ&lid=LSTTABGJ6XU726YRFGZX8QXUQ&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_24&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XU726YRFGZ.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G (Pink)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-5g-pink/p/itm78067ee9f2cb0?pid=TABGJ6XUMY3JK88K&lid=LSTTABGJ6XUMY3JK88KKMHPM6&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGJ6XUMY3JK88K.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G (Blue)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-5g-blue/p/itmadd8f36b60a3b?pid=TABGJ6XUZ3X7KY44&lid=LSTTABGJ6XUZ3X7KY44IGUSGS&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGJ6XUZ3X7KY44.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad (10th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only (Blue)|₹53,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-256-gb-rom-10-9-inch-wi-fi-only-blue/p/itmbafa50f9807c6?pid=TABGJ6XUZUURV6TT&lid=LSTTABGJ6XUZUURV6TTJNS7XB&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGJ6XUZUURV6TT.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Blue)|₹53,999|4.6|3,261 Ratings & 182 Reviews|https://www.flipkart.com/apple-ipad-air-5th-gen-64-gb-rom-10-9-inch-wi-fi-only-blue/p/itm4504f50e96ab8?pid=TABGCA2KYFN3AM3K&lid=LSTTABGCA2KYFN3AM3KDLXFDL&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABGCA2KYFN3AM3K.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
Apple iPad (9th Gen) 256 GB ROM 10.2 inch with Wi-Fi+4G (Silver)|₹57,900|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-256-gb-rom-10-2-inch-wi-fi-4g-silver/p/itm8ae5378c1aedc?pid=TABG6VNCH7FMQTYD&lid=LSTTABG6VNCH7FMQTYDN2INDP&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=265bdcd8-8ff4-4fab-a5dd-2d70999e503f.TABG6VNCH7FMQTYD.SEARCH&ppt=sp&ppn=sp&ssid=9q60svbisg0000001709629171484&qH=09401fded433c347
